source,target,tgt_lng
National Center of Public Administration and Local Government (EKDDA),国家公共管理与地方政府中心 (EKDDA),
digital transformation,数字化转型,
digital and agile training courses,数字化与敏捷培训课程,
new technology tools,新技术工具,
sustained organizational effectiveness,持续的组织有效性,
constructive conflict management technique,建设性冲突管理技巧,
collegial or cooperative type of leader,学院式或合作型领导者,
Aristotelian view,亚里士多德观点,
work environment,工作环境,
business orientation,商业导向,
cultural background,文化背景,
professional field,专业领域,
case study approach,案例研究方法,
organizational leadership,组织领导力,
constructive conflict management techniques,建设性冲突管理技巧,
hierarchical and bureaucratic environments,等级制和官僚主义环境,
conflict resolution in complex public sectors,复杂公共部门的冲突解决,
bureaucratic hierarchical contexts,官僚等级制背景,
"Departments of Public Works in Central Macedonia, Greece",希腊中马其顿公共工程部,
bureaucratic challenges,官僚挑战,
resource constraints,资源限制,
authoritarian style,威权风格,
avoidance strategies,回避策略,
employees’ opinion,员工意见,
collaborative approaches,协作方法,
transformational approaches,变革方法,
perception differences,认知差异,
"Sustainability 2025, 17, 2248","Sustainability 2025, 17, 2248",
quantitative method,定量方法,
Likert scale questionnaires,李克特量表问卷,
reliability,信度,
quantitative research,定量研究,
independent variables,自变量,
dependent variables,因变量,
numerical data,数值数据,
supervisor,主管,
employee,员工,
Data collection process,数据收集过程,
public servants,公务员,
"Departments of Public Works in Region of Central Macedonia, Greece",希腊中马其顿地区公共工程局,
survey instrument,调查工具,
validation process,验证过程,
Expert reviews,专家评审,
pilot test,预测试,
main data collection process,主要数据收集过程,
incentives,激励措施,
surveys,调查,
Departments of Public Works in Greece,希腊公共工程局,
generalizability,普适性,
GDPR,通用数据保护条例,
Personal Data Protection Authority,个人数据保护局,
hierarchical structures,层级结构,
perception of leadership,领导力感知,
leadership perception,领导力感知,
organizational cohesion,组织凝聚力,
organizational efficiency,组织效率,
leadership characteristics,领导特征,
leadership traits,领导特质,
Research Planning,研究规划,
third-party behaviors,第三方行为,
Cultural Influences on Leadership,文化对领导力的影响,
Bersin,Bersin,
Chamorro-Premuzic,Chamorro-Premuzic,
individualism–collectivism dimension,个人主义-集体主义维度,
individualistic cultures,个人主义文化,
participative leadership,参与式领导,
Asian cultures,亚洲文化,
dominating conflict management techniques,支配型冲突管理技术,
Backhaus,Backhaus,
Vogel,Vogel,
Anglo-American tradition,英美传统,
German and Scandinavian tradition,德国和斯堪的纳维亚传统,
trans-formational leadership,变革型领导,
Anglo-American countries,英美国家,
continental European countries,欧洲大陆国家,
Data analysis,数据分析,
IBM SPSS 26,IBM SPSS 26,
Shapiro Wilk test,Shapiro-Wilk检验,
Mann-Whitney U test,Mann-Whitney U检验,
Spearman's correlation,斯皮尔曼相关性,
Pearson's correlation,皮尔逊相关性,
leaders,领导者,
median,中位数,
interquartile range,四分位距,
Spearman correlation coefficient,斯皮尔曼相关系数,
Spearman's rho,斯皮尔曼秩相关系数,
multiple linear regression models,多元线性回归模型,
bivariate analysis,双变量分析,
depended variables,因变量,
Normality tests,正态性检验,
gender,性别,
university,大学,
postgraduate education level,研究生教育水平,
years of service,服务年限,
Demographic and Occupational Data,人口统计与职业数据,
Digital Entrepreneurship,数字创业,
Rural,农村,
Urban,城市,
J. Bus. Ventur. Insights,J. Bus. Ventur. Insights,
HR,人力资源,
HR Departments,人力资源部门,
Research and Innovation Forum,研究创新论坛,
Springer International Publishing,Springer International Publishing,
Berlin,柏林,
Heidelberg,海德堡,
Germany,德国,
Human Resource Management,人力资源管理,
Transformative Digital Era,变革性数字时代,
Int. J. Relig.,Int. J. Relig.,
Risk-Taking Behavior,风险承担行为,
Employees’ Commitment to Organizational Change,员工对组织变革的承诺,
Task Complexity,任务复杂性,
Managing Conflict for Effective Leadership and Organizations,有效领导与组织的冲突管理,
Oxford Research Encyclopedia of Business and Management,牛津商业与管理研究百科全书,
Oxford University Press,牛津大学出版社,
Oxford,牛津,
UK,英国,
Digital Skills,数字技能,
Vocational Education and Training,职业教育和培训,
Erasmus,伊拉斯谟计划,
Digital Tools,数字工具,
Educational Platforms,教育平台,
J. Infrastruct. Policy Dev.,J. Infrastruct. Policy Dev.,
MDPI,MDPI,
regression analysis,回归分析,
conflict resolution techniques,冲突解决技巧,
Eigenvalue,特征值,
Cronbach Alpha,克朗巴赫α系数,
common method variance,共同方法变异,
Harman’s Single Factor Test,哈曼单因子检验,
common method bias,共同方法偏差,
Population-Sample,总体-样本,
civil servants,公务员,
Regional Prefectures,地区州,
Region of Central Macedonia,中马其顿地区,
Comparison of Views on Leadership Style,领导风格观点比较,
Transformative,变革型,
Autocratic,专制型,
Factor Analysis with Equamax Rotation,Equamax旋转因子分析,
Leader Characteristics,领导者特征,
public sector managers,公共部门管理者,
Greece’s Public Sector,希腊公共部门,
health care sector,医疗保健部门,
education,教育,
Menon,Menon,
bureaucratic nature,官僚性质,
Greek educational system,希腊教育体系,
Greek hospitals,希腊医院,
Goula,Goula,
Human Resources Department,人力资源部门,
Managers,管理者,
email,电子邮件,
Collaborative,协作型,
Creating positive communication,创造积极沟通,
Confidence and strengthening your colleagues,自信与增强同事,
total variance,总方差,
lifelong learning mandatory training programs,终身学习强制性培训项目,
employees’ engagement,员工敬业度,
commitment,承诺,
Encouraging,鼓励,
Motivating,激励,
Need of social recognition,社会认需求,
Need for power projection,权力投射需求,
Transformational,变革型,
multiple linear regression analyses,多元线性回归分析,
Public leaders,公共领导者,
complex service environments,复杂服务环境,
routine operational priorities,常规运营优先级,
unexpected demands,意外需求,
limited resources,有限资源,
heightened performance expectations,高绩效期望,
Level of Education,教育水平,
Basic,基础,
Bachelor,学士,
collaborative conflict management styles,协作式冲突管理风格,
social exchange process,社会交换过程,
Master Degree,硕士学位,
PHD,博士学位,
Role in Public Sector,公共部门角色,
Manager,经理,
