source,target,tgt_lng
social spider algorithm,社会蜘蛛算法,
"Jasim, M.H.","Jasim, M.H.",
bacterial foraging algorithm,细菌觅食算法,
position control,位置控制,
DC servo motor,直流伺服电机,
Eng. Technol. J.,工程技术杂志,
"Javidy, B., Hatamlou, A., Mirjalili, S.","Javidy, B., Hatamlou, A., Mirjalili, S.",
Ions motion algorithm,离子运动算法,
optimization problems,优化问题,
"Jayabarathi, T., Raghunathan, T., Gandomi, A.","Jayabarathi, T., Raghunathan, T., Gandomi, A.",
Nature-Inspired Algorithms and Applied Optimization,自然启发算法与应用优化,
"Jayanth, J., Koliwad, S., Kumar, T.A.","Jayanth, J., Koliwad, S., Kumar, T.A.",
remote sensed data,遥感数据,
artificial bee colony algorithm,人工蜂群算法,
Egypt. J. Remote Sens. Space Sci.,埃及遥感与空间科学杂志,
"Jhankal, N.K., Adhyaru, D.","Jhankal, N.K., Adhyaru, D.",
derivative free technique,无导数技术,
Nirma University International Conference on Engineering,Nirma大学国际工程会议,
"Jia, F., Lichti, D.","Jia, F., Lichti, D.",
optimal first-order design,最优一阶设计,
indoor TLS networks,室内TLS网络,
ISPRS Ann. Photogramm. Remote Sens. Spatial Inf. Sci.,ISPRS摄影测量、遥感与空间信息科学年鉴,
"Jin, Q., Shi, Y., Liu, Q., Chu, M., Zhang, Y.","Jin, Q., Shi, Y., Liu, Q., Chu, M., Zhang, Y.",
robust PID tuning,鲁棒PID调谐,
multiple objectives,多目标,
Chem. Eng. Commun.,化学工程通讯,
"Johnson, M., Moradi, M.","Johnson, M., Moradi, M.",
London,伦敦,
"Joseph, S.B., Dada, E.G.","Joseph, S.B., Dada, E.G.",
inverted pendulum,倒立摆,
particle swarm optimisation (PSO) algorithm,粒子群优化(PSO)算法,
FUDMA J. Sci.,FUDMA科学杂志,
"Joseph, S.B., Emmanuel, G.D.","Joseph, S.B., Emmanuel, G.D.",
proportional integral derivative controller,比例积分微分控制器,
Pac. J. Sci. Technol.,太平洋科学与技术杂志,
"Kalaiselvi, D., Radhakrishnan, R.","Kalaiselvi, D., Radhakrishnan, R.",
Multiconstrained qos routing,多约束QoS路由,
differentially guided krill herd algorithm,差分引导磷虾群算法,
mobile ad hoc networks,移动自组织网络,
"Kaliannan, J., Baskaran, A., Dey, N., Ashour, A.S.","Kaliannan, J., Baskaran, A., Dey, N., Ashour, A.S.",
Ant colony optimization algorithm,蚁群优化算法,
LFC,LFC,
single area power system,单区域电力系统,
non-linearity,非线性,
boiler dynamics,锅炉动力学,
World J. Model. Simul.,世界建模仿真杂志,
"Kaloust, J., Qu, Z.","Kaloust, J., Qu, Z.",
Robust control design,鲁棒控制设计,
nonlinear uncertain systems,非线性不确定系统,
unknown time-varying control direction,未知时变控制方向,
IEEE Trans. Autom. Control,IEEE Trans. Autom. Control,
"Kalra, M., Singh, S.","Kalra, M., Singh, S.",
metaheuristic scheduling techniques,元启发式调度技术,
cloud computing,云计算,
Egypt. Inform. J.,埃及信息学杂志,
"Karaboga, D.","Karaboga, D.",
honey bee swarm,蜜蜂群体,
numerical optimization,数值优化,
Technical Report,技术报告,
Erciyes University,埃尔吉耶斯大学,
Engineering Faculty,工程学院,
Scholarpedia,Scholarpedia,
"Karthick, P., Palanisamy, C.","Karthick, P., Palanisamy, C.",
Optimized cluster head selection,优化簇头选择,
wireless sensor network,无线传感器网络,
Automatika,Automatika,
"Kashan, A.H.","Kashan, A.H.",
League championship algorithm,联赛冠军算法,
numerical function optimization,数值函数优化,
International Conference of Soft Computing and Pattern Recognition,软计算与模式识别国际会议,
"Katal, N., Kumar, P., Narayan, S.","Katal, N., Kumar, P., Narayan, S.",
Optimal PID controller,最优PID控制器,
coupled-tank liquid-level control system,耦合水箱液位控制系统,
"International Conference on Power, Control and Embedded Systems",电力、控制与嵌入式系统国际会议,
"Kaushik, A., Indu, S., Gupta, D.","Kaushik, A., Indu, S., Gupta, D.",
grey wolf optimization,灰狼优化,
Wirel. Pers. Commun.,无线个人通信,
"Kaveh, A., Mahdavi, V.","Kaveh, A., Mahdavi, V.",
Colliding bodies optimization,碰撞体优化,
meta-heuristic method,元启发式方法,
Comput. Struct.,计算机与结构,
"Kaveh, A., Rastegar Moghaddam, M.","Kaveh, A., Rastegar Moghaddam, M.",
hybrid woa-cbo algorithm,混合WOA-CBO算法,
construction site layout planning,施工场地布局规划,
Sci. Iran.,伊朗科学,
"Kaveh, A., Zaerreza, A.","Kaveh, A., Zaerreza, A.",
Shuffled shepherd optimization method,洗牌牧羊人优化方法,
Engineering Computations,工程计算,
"Kennedy, J., Eberhart, R.","Kennedy, J., Eberhart, R.",
Proceedings of ICNN'95-International Conference on Neural Networks,ICNN'95-国际神经网络会议论文集,
"Khairuzzaman, A.K.M., Chaudhury, S.","Khairuzzaman, A.K.M., Chaudhury, S.",
Multilevel thresholding,多级阈值化,
image segmentation,图像分割,
"Khalilpourazari, S., Pasandideh, S.H.R., Ghodratnama, A.","Khalilpourazari, S., Pasandideh, S.H.R., Ghodratnama, A.",
Robust possibilistic programming,鲁棒可能性规划,
multi-item eoq model,多物品EOQ模型,
defective supply batches,有缺陷的供应批次,
whale optimization,鲸鱼优化,
water cycle algorithms,水循环算法,
"Khare, A., Rangnekar, S.","Khare, A., Rangnekar, S.",
solar photovoltaic system,太阳能光伏系统,
"Kim, D.H., Cho, J.H.","Kim, D.H., Cho, J.H.",
Adaptive tuning,自适应调谐,
multivariable system,多变量系统,
bacterial foraging based optimization,基于细菌觅食的优化,
International Atlantic Web Intelligence Conference,国际大西洋网络智能会议,
biologically inspired intelligent PID controller,生物启发智能PID控制器,
AVR systems,AVR系统,
Int. J. Control. Autom. Syst.,国际控制、自动化与系统杂志,
"Kim, D.H., Hong, W.P., Park, J.I.","Kim, D.H., Hong, W.P., Park, J.I.",
Auto-tuning of reference model based PID controller,基于参考模型的PID控制器自调谐,
Congress on Evolutionary Computation,进化计算大会,
"Kirkpatrick, S., Gelatt, C.D., Vecchi, M.P.","Kirkpatrick, S., Gelatt, C.D., Vecchi, M.P.",
Optimization by simulated annealing,模拟退火优化,
Science,Science,
"Kohli, M., Arora, S.","Kohli, M., Arora, S.",
Chaotic grey wolf optimization algorithm,混沌灰狼优化算法,
constrained optimization problems,约束优化问题,
J. Comput. Des. Eng.,计算机设计与工程杂志,
"Korani, W.M., Dorrah, H.T., Emara, H.M.","Korani, W.M., Dorrah, H.T., Emara, H.M.",
Bacterial foraging oriented by particle swarm optimization strategy,粒子群优化策略导向的细菌觅食,
IEEE International Symposium on Computational Intelligence in Robotics and Automation,IEEE计算智能在机器人自动化国际研讨会,
"Azar, A.T.","Azar, A.T.",
"Ammar, H.H.","Ammar, H.H.",
"Ibrahim, Z.F.","Ibrahim, Z.F.",
"Ibrahim, H.A.","Ibrahim, H.A.",
"Mohamed, N.A.","Mohamed, N.A.",
"Taha, M.A.","Taha, M.A.",
autonomous vehicle,自主车辆,
International Conference on Advanced Intelligent Systems and Informatics,高级智能系统与信息学国际会议,
"Azman, A.A.","Azman, A.A.",
"Rahiman, M.H.F.","Rahiman, M.H.F.",
"Mohammad, N.N.","Mohammad, N.N.",
"Marzaki, M.H.","Marzaki, M.H.",
"Taib, M.N.","Taib, M.N.",
"Ali, M.F.","Ali, M.F.",
PID Ziegler Nichols (ZN),PID齐格勒-尼科尔斯（ZN）,
Cohen-Coon (CC),科恩-库恩（CC）,
multi-tube aluminum sulphate water filter (MTAS),多管硫酸铝水过滤器,
IEEE 2nd International Conference on Automatic Control and Intelligent Systems,IEEE第二届自动控制与智能系统国际会议,
"Bagis, A.","Bagis, A.",
"Senberber, H.","Senberber, H.",
ABC algorithm,人工蜂群算法,
higher order oscillatory systems,高阶振荡系统,
"Baker, G.","Baker, G.",
"Bansal, H.O.","Bansal, H.O.",
"Sharma, R.","Sharma, R.",
"Shreeraman, P.","Shreeraman, P.",
PID controller tuning techniques,PID控制器整定技术,
"Bansal, R.","Bansal, R.",
"Jain, M.","Jain, M.",
"Bhushan, B.","Bhushan, B.",
multi-objective simulated annealing algorithm,多目标模拟退火算法,
temperature control system,温度控制系统,
6th IEEE Power India International Conference,第六届IEEE电力印度国际会议,
"Baselga, S.","Baselga, S.",
second order design,二阶设计,
geodetic networks,大地测量网络,
"Bassi, S.J.","Bassi, S.J.",
"Mishra, M.K.","Mishra, M.K.",
"Omizegba, E.E.","Omizegba, E.E.",
"Battiti, R.","Battiti, R.",
"Tecchiolli, G.","Tecchiolli, G.",
reactive tabu search,反应式禁忌搜索,
"Bayoumi, E.H.E.","Bayoumi, E.H.E.",
"Salem, F.","Salem, F.",
series-parallel resonant converters,串并联谐振变换器,
"Beheshti, Z.","Beheshti, Z.",
"Shamsuddin, S.M.H.","Shamsuddin, S.M.H.",
population-based meta-heuristic algorithms,基于种群的元启发式算法,
CAPSO,CAPSO,
centripetal accelerated particle swarm optimization,向心加速粒子群优化,
"Benbouabdallah, K.","Benbouabdallah, K.",
"Zhu, Q.-d.","Zhu, Q.-d.",
bacterial foraging oriented by particle swarm optimization,粒子群优化导向的细菌觅食,
Lyapunov-based controller,基于Lyapunov的控制器,
mobile robot target tracking,移动机器人目标跟踪,
Ninth International Conference on Natural Computation,第九届自然计算国际会议,
"Bennett, S.","Bennett, S.",
"A History of Control Engineering, 1930–1955",控制工程史：1930-1955,
"Bernstein, D.S.","Bernstein, D.S.",
"Beyer, H.-G.","Beyer, H.-G.",
"Schwefel, H.-P.","Schwefel, H.-P.",
evolution strategies,进化策略,
"Bhandari, A.K.","Bhandari, A.K.",
"Singh, V.K.","Singh, V.K.",
"Kumar, A.","Kumar, A.",
"Singh, G.K.","Singh, G.K.",
cuckoo search algorithm,布谷鸟搜索算法,
wind driven optimization,风驱动优化,
satellite image segmentation,卫星图像分割,
Kapur's entropy,Kapur熵,
"Bharat, S.","Bharat, S.",
"Ganguly, A.","Ganguly, A.",
"Chatterjee, R.","Chatterjee, R.",
"Basak, B.","Basak, B.",
"Sheet, D.K.","Sheet, D.K.",
tuning methods for PID controller,PID控制器整定方法,
"Bhatt, R.","Bhatt, R.",
WOA optimised PID controllers,鲸鱼优化算法优化的PID控制器,
interconnected thermal power systems,互联火电系统,
"Bhawana, S.","Bhawana, S.",
"Neelu, J.","Neelu, J.",
"Bingul, Z.","Bingul, Z.",
"Karahan, O.","Karahan, O.",
avr system,自动电压调节器系统,
"Biswas, K.","Biswas, K.",
"Vasant, P.M.","Vasant, P.M.",
"Vintaned, J.A.G.","Vintaned, J.A.G.",
3D well-path designs,三维井眼轨迹设计,
"Biswas, S.","Biswas, S.",
"Kundu, S.","Kundu, S.",
"Bose, D.","Bose, D.",
"Das, S.","Das, S.",
cooperative co-evolutionary teaching-learning based algorithm,协同共进教学学习算法,
large scale global optimization,大规模全局优化,
"Blum, C.","Blum, C.",
"Roli, A.","Roli, A.",
metaheuristics in combinatorial optimization,组合优化中的元启发式方法,
"BoussaïD, I.","BoussaïD, I.",
"Lepagnot, J.","Lepagnot, J.",
"Siarry, P.","Siarry, P.",
optimization metaheuristics,优化元启发式方法,
"Boyd, S.","Boyd, S.",
"Baratt, C.","Baratt, C.",
"Norman, S.","Norman, S.",
linear controller design,线性控制器设计,
convex optimization,凸优化,
"Brabazon, A.","Brabazon, A.",
"Cui, W.","Cui, W.",
"O'Neill, M.","O'Neill, M.",
raven roosting optimisation algorithm,乌鸦栖息优化算法,
"Brajevic, I.","Brajevic, I.",
"Tuba, M.","Tuba, M.",
firefly algorithm,萤火虫算法,
multilevel image thresholding,多级图像阈值化,
"Brogliato, B.","Brogliato, B.",
"Lozano, R.","Lozano, R.",
adaptive control of first-order nonlinear systems,一阶非线性系统的自适应控制,
"Bulbul, S.M.A.","Bulbul, S.M.A.",
"Pradhan, M.","Pradhan, M.",
"Roy, P.K.","Roy, P.K.",
"Pal, T.","Pal, T.",
opposition-based krill herd algorithm,反向磷虾群算法,
economic load dispatch problem,经济负荷分配问题,
"Burnwal, S.","Burnwal, S.",
"Deb, S.","Deb, S.",
scheduling optimization,调度优化,
flexible manufacturing system,柔性制造系统,
cuckoo search-based approach,基于布谷鸟搜索的方法,
"Černý, V.","Černý, V.",
"Chaib, L.","Chaib, L.",
"Choucha, A.","Choucha, A.",
"Arif, S.","Arif, S.",
fractional order PID power system stabilizer,分数阶PID电力系统稳定器,
"Chandrasekar, K.","Chandrasekar, K.",
"Paramasivam, B.","Paramasivam, B.",
"Chidambaram, I.A.","Chidambaram, I.A.",
power system restoration indices,电力系统恢复指标,
pi+ controller,PI+控制器,
restructured power system,重构电力系统,
facts devices,柔性交流输电系统设备,
"Rao, R.V.","Rao, R.V.",
"Kalyankar, V.","Kalyankar, V.",
"Savsani, V.J.","Savsani, V.J.",
"Vakharia, D.","Vakharia, D.",
Teaching–learning-based optimization,教与学优化,
constrained mechanical design optimization problems,约束机械设计优化问题,
Comput. Aided Des.,计算机辅助设计,
continuous non-linear large scale problems,连续非线性大规模问题,
"Rashedi, E.","Rashedi, E.",
"Nezamabadi-Pour, H.","Nezamabadi-Pour, H.",
"Saryazdi, S.","Saryazdi, S.",
GSA,引力搜索算法,
gravitational search algorithm,引力搜索算法,
"Razmjooy, N.","Razmjooy, N.",
"Khalilpour, M.","Khalilpour, M.",
"Ramezani, M.","Ramezani, M.",
meta-heuristic optimization algorithm,元启发优化算法,
FIFA world cup competitions,FIFA世界杯比赛,
PID designing,PID设计,
J. Control Autom. Electr. Syst.,控制自动化与电气系统杂志,
"Regad, M.","Regad, M.",
"Helaimi, M.","Helaimi, M.",
"Taleb, R.","Taleb, R.",
"Othman, A.M.","Othman, A.M.",
"Gabbar, H.A.","Gabbar, H.A.",
Frequency control of microgrid with renewable generation using PID controller based krill herd,基于磷虾群PID控制器的可再生能源微电网频率控制,
Indones. J. Electr. Eng. Inform.,印尼电气工程与信息杂志,
"Reis, V.","Reis, V.",
"Santos, M.","Santos, M.",
"Carmo, M.","Carmo, M.",
"Ferreira, F.","Ferreira, F.",
Control of level systems by Arduino via PC platform,基于Arduino通过PC平台的液位系统控制,
"2016 20th International Conference on System Theory, Control and Computing",2016年第20届系统理论、控制与计算国际会议,
ICSTCC,系统理论、控制与计算国际会议,
"Ribeiro, J.","Ribeiro, J.",
"Silva, M.","Silva, M.",
Comparison of PID controller tuning methods,PID控制器调优方法比较,
analytical/classical techniques,解析/经典技术,
optimization algorithms,优化算法,
2017 18th International Carpathian Control Conference,2017年第18届国际喀尔巴阡控制会议,
ICCC,国际喀尔巴阡控制会议,
"Rodríguez-Molina, A.","Rodríguez-Molina, A.",
"Mezura-Montes, E.","Mezura-Montes, E.",
"Villarreal-Cervantes, M.G.","Villarreal-Cervantes, M.G.",
"Aldape-Pérez, M.","Aldape-Pérez, M.",
Multi-objective meta-heuristic optimization in intelligent control,智能控制中的多目标元启发优化,
controller tuning problem,控制器调优问题,
"Ruano, A.E.","Ruano, A.E.",
"Ge, S.S.","Ge, S.S.",
"Guerra, T.M.","Guerra, T.M.",
"Lewis, F.L.","Lewis, F.L.",
"Principe, J.C.","Principe, J.C.",
"Colnariˇc, M.","Colnariˇc, M.",
Computational intelligence in control,控制中的计算智能,
Annu. Rev. Control,控制年度评论,
"Rubinstein, R.Y.","Rubinstein, R.Y.",
Optimization of computer simulation models with rare events,稀有事件计算机仿真模型优化,
"Saad, M.S.","Saad, M.S.",
"Jamaluddin, H.","Jamaluddin, H.",
"Darus, I.Z.","Darus, I.Z.",
PID controller tuning using evolutionary algorithms,基于进化算法的PID控制器调优,
WSEAS Trans. Syst. Control,WSEAS系统与控制汇刊,
"Saha, A.","Saha, A.",
"Saikia, L.C.","Saikia, L.C.",
restructured STPP-thermal power systems,重组后的STPP火力发电系统,
WOA optimised PIDN-FOPD controller,鲸鱼算法优化的PIDN-FOPD控制器,
IET Gener. Transm. Distrib.,IET发电、输电与配电,
"Sahu, B.K.","Sahu, B.K.",
"Pati, S.","Pati, S.",
"Mohanty, P.K.","Mohanty, P.K.",
"Panda, S.","Panda, S.",
Teaching–learning based optimization algorithm based fuzzy-PID controller,基于教与学优化算法的模糊PID控制器,
automatic generation control of multi-area power system,多区域电力系统自动发电控制,
"Sahu, R.K.","Sahu, R.K.",
"Rout, U.K.","Rout, U.K.",
"Sahoo, D.K.","Sahoo, D.K.",
"Sala, R.","Sala, R.",
"Müller, R.","Müller, R.",
Benchmarking for metaheuristic black-box optimization,元启发黑箱优化基准测试,
arXiv preprint,arXiv预印本,
"Salmani, M.H.","Salmani, M.H.",
"Eshghi, K.","Eshghi, K.",
smart structural algorithm (SSA),智能结构算法(SSA),
infeasible region,不可行域,
mixed integer problems,混合整数问题,
Int. J. Appl. Metaheuristic Comput.,国际应用元启发计算杂志,
"Sandoval, D.","Sandoval, D.",
"Soto, I.","Soto, I.",
"Adasme, P.","Adasme, P.",
Control of direct current motor using ant colony optimization,基于蚁群优化的直流电机控制,
CHILECON,智利电气电子工程与信息技术会议,
"dos Santos Coelho, L.","dos Santos Coelho, L.",
Chaos Solitons Fractals,混沌、孤子与分形,
"da Costa Silveira, C.","da Costa Silveira, C.",
2006 IEEE Conference on Computer Aided Control System Design,2006年IEEE计算机辅助控制系统设计会议,
2006 IEEE International Conference on Control Applications,2006年IEEE控制应用国际会议,
2006 IEEE International Symposium on Intelligent Control,2006年IEEE智能控制国际研讨会,
"Mariani, V.C.","Mariani, V.C.",
Comput. Math. Appl.,计算数学与应用,
"̧Sen, M.A.","̧Sen, M.A.",
"Kalyoncu, M.","Kalyoncu, M.",
Optimal tuning of PID controller using grey wolf optimizer algorithm for quadruped robot,基于灰狼优化算法的四足机器人PID控制器最优调优,
Balkan J. Electr. Comput. Eng.,巴尔干电气与计算机工程杂志,
"Sen, R.","Sen, R.",
"Pati, C.","Pati, C.",
"Dutta, S.","Dutta, S.",
Comparison between three tuning methods of PID control for high precision positioning stage,高精度定位平台PID控制三种调优方法比较,
Mapan,Mapan,
Fractional PID controller design for fractional order systems using ABC algorithm,基于ABC算法的分数阶系统分数阶PID控制器设计,
2017 Electronics,2017年电子学会议,
"Shah-Hosseini, H.","Shah-Hosseini, H.",
Intelligent water drops algorithm,智能水滴算法,
multiple knapsack problem,多背包问题,
Int. J. Intell. Comput. Cybern.,国际智能计算与控制论杂志,
Principal components analysis by the galaxy-based search algorithm,基于银河系搜索算法的主成分分析,
galaxy-based search algorithm,银河系搜索算法,
metaheuristic for continuous optimisation,连续优化元启发算法,
Int. J. Comput. Sci. Eng.,国际计算机科学与工程杂志,
"Shaheen, A.M.","Shaheen, A.M.",
"Spea, S.R.","Spea, S.R.",
"Farrag, S.M.","Farrag, S.M.",
"Abido, M.A.","Abido, M.A.",
meta-heuristic algorithms for reactive power planning problem,无功规划问题的元启发算法,
Ain Shams Eng. J.,Ain Shams工程杂志,
"Shahrokhi, M.","Shahrokhi, M.",
"Zomorrodi, A.","Zomorrodi, A.",
Department of Chemical & Petroleum Engineering Sharif University of Technology,谢里夫科技大学化学与石油工程系,
"Shair, E.F.","Shair, E.F.",
"Khor, S.","Khor, S.",
"Abdullah, A.","Abdullah, A.",
"Jaafar, H.","Jaafar, H.",
"Saharuddin, N.","Saharuddin, N.",
"Abidin, A.Z.","Abidin, A.Z.",
Cuckoo search approach for cutting stock problem,布谷鸟搜索方法在切割库存问题中的应用,
Int. J. Inform. Electr. Eng.,国际信息与电气工程杂志,
"Sharma, P.","Sharma, P.",
"Gupta, A.","Gupta, A.",
"Aggarwal, A.","Aggarwal, A.",
"Gupta, D.","Gupta, D.",
"Khanna, A.","Khanna, A.",
"Hassanien, A.E.","Hassanien, A.E.",
"de Albuquerque, V.H.C.","de Albuquerque, V.H.C.",
health of things,健康物联网,
classification of protein structure using improved grey wolf optimization,基于改进灰狼优化的蛋白质结构分类,
J. Supercomput.,超级计算杂志,
"Peram, M.","Peram, M.",
"Mishra, S.","Mishra, S.",
"Vemulapaty, M.","Vemulapaty, M.",
"Verma, B.","Verma, B.",
"Padhy, P.K.","Padhy, P.K.",
Optimal PI-PD and I-PD controller design,最优PI-PD和I-PD控制器设计,
2018 5th International Conference on Signal Processing and Integrated Networks,2018年第五届信号处理与集成网络国际会议,
SPIN,SPIN,
"Pham, Q.-V.","Pham, Q.-V.",
"Kumar, N.","Kumar, N.",
"Alazab, M.","Alazab, M.",
"Hwang, W.-J.","Hwang, W.-J.",
resource allocation in wireless networks,无线网络资源分配,
IEEE Trans. Veh. Technol.,IEEE车辆技术汇刊,
"Pierezan, J.","Pierezan, J.",
"Coelho, L.D.S.","Coelho, L.D.S.",
Coyote optimization algorithm,郊狼优化算法,
global optimization problems,全局优化问题,
2018 IEEE Congress on Evolutionary Computation,2018年IEEE进化计算大会,
CEC,CEC,
"Pijarski, P.","Pijarski, P.",
"Kacejko, P.","Kacejko, P.",
algorithm of the innovative gunner,创新枪手算法,
Eng. Optim.,工程优化,
"Pilla, R.","Pilla, R.",
"Botcha, N.","Botcha, N.",
"Gorripotu, T.S.","Gorripotu, T.S.",
Fuzzy PID controller,模糊PID控制器,
automatic generation control,自动发电控制,
interconnected power system,互联电力系统,
glow-worm swarm optimization,萤火虫群优化,
International Conference on Application of Robotics in Industry Using Advanced Mechanisms,工业机器人应用先进机制国际会议,
"Pirabakaran, K.","Pirabakaran, K.",
"Becerra, V.","Becerra, V.",
Automatic tuning of PID controllers,PID控制器自动整定,
model reference adaptive control techniques,模型参考自适应控制技术,
IECON'01,IECON'01,
27th Annual Conference of the IEEE Industrial Electronics Society,第27届IEEE工业电子学会年会,
"Prasad, L.B.","Prasad, L.B.",
"Tyagi, B.","Tyagi, B.",
"Gupta, H.O.","Gupta, H.O.",
nonlinear inverted pendulum system,非线性倒立摆系统,
LQR,LQR,
Int. J. Autom. Comput.,国际自动化与计算杂志,
"Premkumar, K.","Premkumar, K.",
"Manikandan, B.","Manikandan, B.",
Bat algorithm optimized fuzzy PD based speed controller,蝙蝠算法优化的模糊PD速度控制器,
brushless direct current motor,无刷直流电机,
Int. J. Eng. Sci. Technol.,国际工程科学与技术杂志,
"Priyambada, S.","Priyambada, S.",
Automatic voltage regulator,自动电压调节器,
TLBO algorithm,TLBO算法,
2014 9th International Conference on Industrial and Information Systems,2014年第九届工业与信息系统国际会议,
ICIIS,ICIIS,
"Priyambodo, T.K.","Priyambodo, T.K.",
"Putra, A.E.","Putra, A.E.",
"Dharmawan, A.","Dharmawan, A.",
ant colony logic,蚁群逻辑,
quadrotor stabilization,四旋翼无人机稳定,
2015 IEEE International Conference on Aerospace Electronics and Remote Sensing Technology,2015年IEEE航空航天电子与遥感技术国际会议,
ICARES,ICARES,
"Qasem, S.N.","Qasem, S.N.",
"Shamsuddin, S.M.","Shamsuddin, S.M.",
Memetic elitist Pareto differential evolution algorithm,模因精英帕累托差分进化算法,
radial basis function networks,径向基函数网络,
classification problems,分类问题,
"Qi, H.","Qi, H.",
"Altinakar, M.S.","Altinakar, M.S.",
agricultural land use planning,农业土地利用规划,
BMP,BMP,
integrated watershed management,综合流域管理,
J. Environ. Manag.,环境管理杂志,
"Qiao, W.","Qiao, W.",
"Yang, Z.","Yang, Z.",
Modified dolphin swarm algorithm,改进海豚群算法,
chaotic maps,混沌映射,
high-dimensional function optimization problems,高维函数优化问题,
"Qin, S.J.","Qin, S.J.",
Control performance monitoring,控制性能监控,
"Quwaider, M.","Quwaider, M.",
"Shatnawi, Y.","Shatnawi, Y.",
Neural network model,神经网络模型,
internet of things congestion control,物联网拥塞控制,
immune-hill-climbing algorithm,免疫爬山算法,
Simul. Model. Pract. Theory,仿真建模实践与理论,
"Rahmani, M.","Rahmani, M.",
"Ghanbari, A.","Ghanbari, A.",
"Ettefagh, M.M.","Ettefagh, M.M.",
Robust adaptive control,鲁棒自适应控制,
bio-inspired robot manipulator,仿生机器人操作臂,
"Komijani, H.","Komijani, H.",
Optimal novel super-twisting PID sliding mode control,最优新型超螺旋PID滑模控制,
MEMS gyroscope,MEMS陀螺仪,
multi-objective bat algorithm,多目标蝙蝠算法,
"Rajabioun, R.","Rajabioun, R.",
"Rajakumar, R.","Rajakumar, R.",
"Amudhavel, J.","Amudhavel, J.",
"Dhavachelvan, P.","Dhavachelvan, P.",
"Vengattaraman, T.","Vengattaraman, T.",
Grey wolf optimization algorithm,灰狼优化算法,
node localization problem,节点定位问题,
J. Comput. Netw. Commun.,计算机网络与通信杂志,
"Rajesh, R.J.","Rajesh, R.J.",
"Ananda, C.M.","Ananda, C.M.",
PSO tuned PID controller,PSO整定PID控制器,
camera position in UAV,无人机相机位置,
2-axis gimbal,两轴云台,
2015 International Conference on Power and Advanced Control Engineering,2015年电力与先进控制工程国际会议,
ICPACE,ICPACE,
"Rajinikanth, V.","Rajinikanth, V.",
"Latha, K.","Latha, K.",
I-PD controller tuning,I-PD控制器整定,
unstable system,不稳定系统,
Applied Computational Intelligence and Soft Computing,应用计算智能与软计算,
"Satapathy, S.C.","Satapathy, S.C.",
teaching learning based optimization,教与学优化,
Proc. Technol.,技术进展,
"Rakovic, S.","Rakovic, S.",
"Teel, A.","Teel, A.",
"Mayne, D.","Mayne, D.",
"Astolfi, A.","Astolfi, A.",
robust control invariant tubes,鲁棒控制不变管,
nonlinear discrete time systems,非线性离散时间系统,
45th IEEE Conference on Decision and Control,第45届IEEE决策与控制会议,
"Ramachandran, R.","Ramachandran, R.",
"Madasamy, B.","Madasamy, B.",
"Veerasamy, V.","Veerasamy, V.",
"Saravanan, L.","Saravanan, L.",
dynamic interconnected power system,动态互联电力系统,
generalised Hopfield neural network,广义Hopfield神经网络,
self-adaptive PID controller,自适应PID控制器,
"Ramaswamy, R.","Ramaswamy, R.",
"Sbalzarini, I.F.","Sbalzarini, I.F.",
partial-propensity variant,部分倾向变体,
composition-rejection stochastic simulation algorithm,组合拒绝随机模拟算法,
chemical reaction networks,化学反应网络,
J. Chem. Phys.,化学物理学报,
"Ramos-Figueroa, O.","Ramos-Figueroa, O.",
"Quiroz-Castellanos, M.","Quiroz-Castellanos, M.",
"Schütze, O.","Schütze, O.",
grouping problems,分组问题,
"Rani, B.S.","Rani, B.S.",
"Kumar, C.A.","Kumar, C.A.",
bacteria foraging optimization technique,细菌觅食优化技术,
Multi-Objective Swarm Intelligence,多目标群体智能,
"Rao, D.C.","Rao, D.C.",
"Kabat, M.R.","Kabat, M.R.",
"Das, P.K.","Das, P.K.",
"Jena, P.K.","Jena, P.K.",
Cooperative navigation planning,协同导航规划,
multiple mobile robots,多移动机器人,
improved krill herd,改进磷虾群,
Arab. J. Sci. Eng.,阿拉伯科学与工程杂志,
"Rao, R.","Rao, R.",
Jaya algorithm,Jaya算法,
constrained and unconstrained optimization problems,约束和无约束优化问题,
Int. J. Ind. Eng. Comput.,国际工业工程与计算杂志,
"Patel, V.","Patel, V.",
multi-objective improved teaching-learning based optimization algorithm,多目标改进教与学优化算法,
"Mange, J.","Mange, J.",
"Pace, S.","Pace, S.",
"Dunn, A.","Dunn, A.",
automated ground vehicle control,自动地面车辆控制,
dynamic terrain,动态地形,
International Conference on Scientific Computing,国际科学计算会议,
CSC,CSC,
"Marinakis, Y.","Marinakis, Y.",
"Marinaki, M.","Marinaki, M.",
bumble bees mating optimization algorithm,大黄蜂交配优化算法,
open vehicle routing problem,开放车辆路径问题,
"Martins, F.G.","Martins, F.G.",
ITAE criterion,ITAE准则,
Int. J. Eng. Educ.,Int. J. Eng. Educ.,
"McFarlane, D.","McFarlane, D.",
"Glover, K.","Glover, K.",
loop-shaping design procedure,回路成形设计程序,
"Medewar, P.","Medewar, P.",
"Munje, R.","Munje, R.",
PSO based PID controller tuning,基于粒子群优化的PID控制器整定,
PMDC motor,永磁直流电机,
International Conference on Energy Systems and Applications,国际能源系统与应用会议,
"Meena, D.","Meena, D.",
"Devanshu, A.","Devanshu, A.",
