source,target,tgt_lng
Railway facilities,铁路设施,
industrial structures,工业结构,
repair sheds,维修棚,
foundries,铸造厂,
utility facilities,公用设施,
electrical generating plants,发电厂,
waste water treatment facilities,污水处理设施,
Toronto downtown,多伦多市中心,
New Orleans,新奥尔良,
major American Cities,美国主要城市,
Privately owned lands,私有土地,
private properties,私有财产,
public trespass,公共侵入,
public ownership,公共所有权,
Institutional barriers,制度性障碍,
government-owned facilities,政府所有设施,
military base,军事基地,
U.S. Navy Training Center,美国海军训练中心,
San Diego waterfront,圣地亚哥滨水区,
waterfront lands,滨水土地,
rail lines,铁路线,
North America cities,北美城市,
Laclede's Landing,拉克利德登陆地,
adjacent downtown areas,邻近市中心区域,
North Main aboriginal community,North Main原住民社区,
Ikrainian Cultural Center,Ikrainian文化中心,
Visual connection,视觉连接,
waterfront design,滨水设计,
visual access,视觉可达性,
city skyline,城市天际线,
amenity values,舒适性价值,
city identity,城市认同感,
built environment,建成环境,
natural environment,自然环境,
ferry buildings,渡轮建筑,
marinas,游艇码头,
ship repair facilities,船舶修理设施,
visual landmarks,视觉地标,
focal point,焦点,
nautical flags,航海旗帜,
visual texture,视觉纹理,
natural features,自然特征,
horizontal edge,水平边缘,
vertical elements,垂直元素,
vegetation,植被,
soft visual element,软性视觉元素,
water surface,水面,
panoramic views,全景视野,
water edge,水边,
St. Louis waterfront,圣路易斯滨水区,
arch,拱门,
stainless steel,不锈钢,
Eero Saarinen,埃罗·沙里宁,
Waterfront lighting,滨水照明,
visual accessibility,视觉可达性,
Private property ownership,私有产权,
institutional uses,机构用途,
active-use,积极利用,
waterfront connection,滨水连接,
park,公园,
public activities,公共活动,
shops and restaurants,商店和餐馆,
office,办公,
private and exclusive housing,私密和高档住宅,
degree of publicness,公共性程度,
highest visibility,最高可见性,
accessibility,可达性,
Mark,马克,
Canadian Institute of Planners Forum,加拿大规划师协会论坛,
May,五月,
SWOT analysis,SWOT分析,
National Historic Site,国家历史遗址,
Chicago-style historic buildings,芝加哥风格历史建筑,
Planetarium,天文馆,
Malardalen,梅拉达伦,
controversy,争议,
barriers,障碍,
highways,高速公路,
limited-access highways,限制通行高速公路,
pedestrian,行人,
waterside restaurant,水边餐厅,
"Wagner, Robert F.","Wagner, Robert F.",
Committee on Urban Waterfront Lands,城市滨水区土地委员会,
National Academy of Sciences,美国国家科学院,
Supportive Recommendations for Design Concept,设计概念支持性建议,
Alexander Waterfront Dishict,亚历山大滨水区,
Mixed-use Infill Design Recommendation Matrix,混合用途填充设计推荐矩阵,
Open Space Design Recommendation Matrix,开放空间设计推荐矩阵,
Main Axial Walkway and Riverfront path Design Recommendation Checklist,主要轴向步道与河滨路径设计推荐检查表,
streetscape shaping,街景塑造,
pedestrian use,行人使用,
District identity,区域认同,
accessibility to the waterfront,滨水可达性,
pedestrian experience,行人体验,
recreational harbor,休闲港,
Portland,波特兰,
municipal zoning by-law,市政分区法规,
recreational boating,休闲划船,
fishing industry,渔业,
Halifax waterfront,哈利法克斯滨水区,
office buildings,办公楼,
aquarium,水族馆,
maritime museum,海事博物馆,
lobbies,大堂,
revenue,收入,
Public safefy,公共安全,
isolation,隔离,
unsafe perceptions,不安全感知,
dynamic waterfront,动态滨水区,
security,安全,
Maslow,马斯洛,
safety needs,安全需求,
hunger,饥饿,
thirst,口渴,
Physical safety,物理安全,
physical harm,身体伤害,
natural elements,自然元素,
human elements,人为因素,
artificially created elements,人工创造元素,
moving cars,行驶的汽车,
structurally unsound buildings,结构不安全的建筑,
psychological safety,心理安全,
bureaucracy,官僚制度,
city,城市,
development projects,开发项目,
master plan,总体规划,
residential use,住宅用途,
Albert Cheung,Albert Cheung,
Market Street,Market Street,
Down-town Winnipeg,温尼伯市中心,
process-oriented waterfront planning and design,面向过程的滨水区规划与设计,
public commitment,公共承诺,
continuous efforts at development,持续开发努力,
design with future maintenance in mind,考虑未来维护的设计,
Public sector intervention,公共部门干预,
construction,建设,
maintenance and renewal program,维护与更新计划,
new creations,新创设,
basic design,基本设计,
Waterfront land,滨水用地,
development opportunities,发展机遇,
city revitalization,城市复兴,
comprehensive plan,综合规划,
empirically-based design approach,基于经验的设计方法,
visible minority population,可见少数族裔人口,
low education level,低教育水平,
low employment,低就业率,
low-income population,低收入人口,
self-employed people,自雇人士,
demographic context,人口背景,
District,区域,
Fig.23,图23,
Fig.24,图24,
Fig.25,图25,
mixed-uses,混合用途,
cultural,文化,
recreational,休闲娱乐,
Concert Hall,音乐厅,
Museum,博物馆,
MTC Theater,MTC剧院,
development anchor,发展锚点,
land and building uses,土地和建筑用途,
planning and design control measures,规划和设计管控措施,
mixed-use areas,混合用途区域,
supportive recommendations,支持性建议,
public use at ground level,地面层公共用途,
corner locations for commercial use at ground level,地面层转角商业用途位置,
mixed-use development proposals,混合用途开发提案,
McDermott Avenue,McDermott Avenue,
Porter Building,Porter Building,
Inland Revenue Warehouse,Inland Revenue Warehouse,
Grain Exchange Building,Grain Exchange Building,
Great-West Life Building,Great-West Life Building,
Union Trust Tower,Union Trust Tower,
Bank of Hamilton,Bank of Hamilton,
commercial use,商业用途,
bars,酒吧,
greenery open space,绿色开放空间,
riverfront,河滨,
cruise service,巡航服务,
industrial use,工业用途,
railway,铁路,
high-pressure pumping station,高压泵站,
warehouse,仓库,
office use,办公用途,
cost for developing the whole area,整个区域开发成本,
market,市场,
bonus systems,奖金制度,
funding programs,资助计划,
Financial self-reliance,财务自给自足,
long-term sustainable development,长期可持续发展,
long-term operation and maintenance,长期运营与维护,
post-build maintenance,建成后维护,
design concept,设计概念,
maintenance strategies,维护策略,
pre-development,开发前期,
design considerations,设计考量,
public programs,公共项目,
vibrancy of the AWD,AWD的活力,
financial risk,财务风险,
initial development stage,初始开发阶段,
development balance,开发平衡,
revenue-generating uses,创收用途,
future maintenance,未来维护,
continuing vibrancy of the AWD,AWD持续活力,
urban development process,城市发展过程,
dynamic process,动态过程,
designing for change,为变化而设计,
Irban Waterfront Flanning and Design,城市滨水区规划与设计,
waterfront functions,滨水功能,
human settlements,人类聚居地,
Design Strategy Structure,设计策略结构,
Saint-Boniface,圣博尼法斯,
Bishop Provencher,普罗文彻主教,
Roman Catholic mission,罗马天主教传教团,
Louis Riel,路易·瑞尔,
Métis leader,梅蒂人领袖,
Province of Manitoba,马尼托巴省,
Federal Government,联邦政府,
MTC Warehouse Theater,MTC仓库剧院,
Ukrainian Cultural Center,乌克兰文化中心,
Royal Winnipeg Ballet Workshop,皇家温尼伯芭蕾舞团工作坊,
Precedents study,先例研究,
Interview Instrument,访谈工具,
semi-structured interview,半结构化访谈,
swor analysis,SWOR分析,
Cartographic and Photographic Survey,地图与摄影调查,
site inventory,场地盘点,
land usage,土地利用,
Main Street North neighborhood,北主街社区,
Wellington West Building,威灵顿西部大厦,
Edmonton,埃德蒙顿,
financial feasibility,财务可行性,
long-term maintenance,长期维护,
Chapter Four,第四章,
Evaluation of Frevious and Ongoing Development Frojects,先前和正在进行的开发项目评估,
pumping station,泵站,
Canada's centennial,加拿大百年纪念,
Winnipeg Children's Museum,温尼伯儿童博物馆,
Market Ave. Streetscaping,市场大道街景美化,
Ashdown Warehouse Residential Conversion,阿什当仓库住宅改造,
John Hirsch Place Project,约翰·赫希广场项目,
Rorie St. Streetscaping,罗里街街景美化,
Pantages Theater Renovation,潘太及斯剧院翻新,
literature review,文献综述,
urban design principles,城市设计原则,
City of Winnipeg Planning and Land Use Division,温尼伯市规划与土地利用局,
CenterVenture,CenterVenture,
Downtown Brz,Downtown Brz,
Exchange District BIz,Exchange District BIz,
Chinatown Development Corporation,唐人街开发公司,
North Main Partnership,北主街伙伴关系,
Wiruripeg,Wiruripeg,
Civic Center,市政中心,
natural environment (green space),自然环境（绿地）,
informed consent form,知情同意书,
Appendix D,附录D,
ATVD,ATVD,
historic and cultural features,历史和文化特征,
heritage assets,遗产资产,
accessible urban waterfront,可达的城市滨水区,
general public,公众,
waterfront location,滨水位置,
diverse uses and activities,多样化用途和活动,
viability,可行性,
identity and sense of place,身份和场所感,
outdoor spaces,户外空间,
streets,街道,
development boom,开发热潮,
Chicago Style,芝加哥风格,
municipally designated buildings,市级指定建筑,
provincial designated building,省级指定建筑,
National Historic Sites,国家历史遗址,
Federal Minister of Canadian Heritage,加拿大遗产联邦部长,
Logan Avenue,洛根大道,
Chinese architecture,中式建筑,
Winnipeg Chinese Cultural and Community Center,温尼伯中华文化中心,
Dynasty Building,王朝大厦,
SWOT,SWOT,
PARK strategy,PARK策略,
commercial and residential development,商业和住宅开发,
acupoint,穴位,
redevelopment,再开发,
design recommendations,设计建议,
design approach,设计方法,
process-oriented,过程导向,
product-oriented,产品导向,
dynamic development,动态发展,
May 2001,2001年5月,
rollerbladers,轮滑者,
wheelchairs,轮椅,
strollers,婴儿车,
recreational bicyclists,休闲骑行者,
park amenities,公园设施,
Waterfront Drive project,滨水大道项目,
"strengths, weaknesses, opportunities and threats (SWOT)",优势、劣势、机遇和威胁（SWOT）,
interviews,访谈,
Central Winnipeg,温尼伯市中心,
urban shoreline,城市岸线,
water body,水体,
topography,地形,
building height,建筑高度,
height limits,高度限制,
street level,街道层面,
two-story building,两层建筑,
twenty-story building,二十层建筑,
high-rise building,高层建筑,
visual corridors,视觉廊道,
Bannatyne Avenue,班纳坦大道,
Prairie Housing Co-op,草原住房合作社,
parkade,停车楼,
outdoor surface parking,露天地面停车场,
cultural centers,文化中心,
visual corridor,视觉廊道,
Lower Manhattan Special District Plan of 1973,1973年下曼哈顿特别区规划,
Broadway,百老汇,
Halifax waterfront plan,哈利法克斯滨水区规划,
Parks Board,公园委员会,
public parks,公共公园,
Amy Street,艾米街,
Pacific Avenue,太平洋大道,
Interview Responses,访谈回应,
Strengths and Weaknesses,优势与劣势,
Opportunities and Threats,机会与威胁,
Suggestions for Further Research,进一步研究建议,
Feedback,反馈,
Winnipeg Transit,温尼伯公交,
Winnipeg neighborhood profiles,温尼伯社区概况,
1996 census data,1996年人口普查数据,
Winnipeg Riverbank Development Program,温尼伯河岸开发计划,
Environment Planning Department,环境规划部,
Martin Sandhurst,Martin Sandhurst,
Planning and Land Use Division,规划与土地利用处,
Property & Development Department,房地产与发展部,
Heritage sites,遗产地,
Municipal Designated Historic Buildings,市政指定历史建筑,
flowchart,流程图,
nature of the research problem,研究问题的性质,
research objectives,研究目标,
survey,调查,
evaluation of previous and ongoing initiatives,对过去和当前倡议的评估,
situational SWOT analysis,情境SWOT分析,
opportunities,机会,
threats,威胁,
further research,进一步研究,
nature of the problem,问题的性质,
survey of the existing situation,现状调查,
direction for further research,进一步研究的方向,
Buildings Conservation List,建筑保护名录,
Grade I,一级,
Grade II,二级,
Grade III,三级,
184 Alexander Avenue,亚历山大大道184号,
"April 21, 1980",1980年4月21日,
115 Bannatyne Avenue,巴纳廷大道115号,
Donald H. Bain Building,唐纳德·H·贝恩大楼,
Land Information Services Branch,土地信息服务处,
"Plaruring, Property & Development Department",规划、物业与发展部,
Prospectus,说明书,
Envi¡onment Plaruring Department,环境规划部,
Properly & Development Department,物业与发展部,
causal seating,休闲座椅,
landscape elements,景观元素,
Guideline for Downtown Open Space,市中心开放空间指南,
Design Guidelines in American Cities,美国城市设计指南,
West Coast cities,西海岸城市,
"Marcus, Clare Cooper","Marcus, Clare Cooper",
"Francis, Carolyn","Francis, Carolyn",
People Places: Design Guidelines for Urban Open Space,人群场所：城市开放空间设计指南,
Point Douelas,道格拉斯角,
Table 2,表2,
Exchange Dishict Strategic Action Plan,交易区战略行动计划,
goal,目标,
action strategy,行动策略,
bicycle access,自行车通道,
riverbank,河岸,
recreational resource,休闲资源,
tourism resource,旅游资源,
Exchange Partnership,交易区合作伙伴关系,
Exchange Community,交易社区,
1996,1996年,
Pantages Playhouse,潘塔吉斯剧院,
national designated historical buildings,国家级指定历史建筑,
Sheetscape,Sheetscape,
personal sheet width-height ratio,个人纸张宽高比,
McDermot Avenue,麦克德莫特大道,
October 2001,2001年10月,
Portage/Main circle,波蒂奇/主环路,
public transit stops,公交站点,
five-minute walking distance,五分钟步行距离,
meters,米,
visual intrusion,视觉侵入,
physical intrusion,物理侵入,
parking structures,停车结构,
dumpsters,垃圾桶,
utility areas,公用设施区域,
service areas,服务区域,
Seattle,西雅图,
Neighborhoods Design Guidelines Checklist,社区设计指南检查表,
Review of Design Policies and Guidance in Five West Coast Cities,五个西海岸城市设计政策与指南评述,
axial walkway,轴线步道,
riverfront path,河边步道,
pedestrian entry,行人入口,
public amenities,公共设施,
major open space,主要开放空间,
personal safety,人身安全,
visual interests,视觉趣味,
personal scale,人体尺度,
landscaping,景观美化,
light fixtures,灯具,
signage,标识牌,
public art,公共艺术,
pedestrian comfort,行人舒适度,
enjoyment,愉悦感,
Main axial walkway and riverfront path design recommendation,主轴线步道与滨河步道设计建议,
Checklist,检查表,
public-private partnership,公私合作伙伴关系,
downtown areas,市中心区域,
David van Vliet,David van Vliet,
Ian Wight,Ian Wight,
Stephen Cohlmeyer,Stephen Cohlmeyer,
harmonious visual quality,和谐视觉质量,
unified streetscape,统一街景,
inharmonious infill,不协调填充,
existing building,现有建筑,
new infill,新填充建筑,
compatible facade texture,兼容立面纹理,
massing,体量,
Building pocket open space,建筑口袋开放空间,
relation patterns,关系模式,
Pocket open space facing north,朝北口袋开放空间,
preserved existing buildings,保留的现有建筑,
historic significance,历史意义,
sound structure,结构完好,
floor area bonus,建筑面积奖励,
Cultural/recreational use designated area,文化/娱乐用途指定区域,
government sponsored development zone,政府资助的发展区,
AWD center,AWD中心,
AWD perimeter,AWD周边,
AWD north,AWD北部,
AWD south,AWD南部,
New York city waterfront,纽约市滨水区,
Land use,土地利用,
Urban Waterfront Lands,城市滨水区土地,
"Wrenn, Douglas M.","Wrenn, Douglas M.",
Mixed-use,混合用途,
building,建筑,
pattem,模式,
user,用户,
distribution,分布,
nature,性质,
particular use,特定用途,
convenience,便利性,
comfort,舒适性,
combination,组合,
compatible,兼容,
4F and up,四层及以上,
3F,三层,
2F,二层,
Design strategy structure chart,设计策略结构图,
Principle 5,原则5,
Principle 3,原则3,
Principle 2,原则2,
neighboring other residential buildings,邻近其他住宅建筑,
Close to community services and commercial uses,靠近社区服务和商业用途,
Access to waterfront view,享有滨水景观,
Close to major open space,靠近主要开放空间,
neighboring other office buildings,邻近其他办公建筑,
close to major street for easy vehicle access,靠近主要街道便于车辆进出,
Visible location with good exposure,可见度高的位置,
Pedestrian accessible,行人可达,
Close to residential use,靠近住宅用途,
gateway treatment,门户处理,
edge conditions,边缘条件,
"Faculty of Architecture, University of Manitoba",马尼托巴大学建筑学院,
Urban Design Studio 1984-85,城市设计工作室1984-85,
Fort Rouge,红堡,
Concept diagram of built setting,建成环境概念图,
Concept diagram of operator space,操作空间概念图,
Main axial walkway,主要轴向走道,
design recommendation checklist,设计建议清单,
Map of floorplan bonus distribution model,平面图奖金分配模型图,
Establish identity,建立身份,
organic part of city,城市的有机组成部分,
quality life experience,优质生活体验,
ground level,地面层,
vehicle,车辆,
accessible,可通达,
waterfront view,waterfront view,
major destinations,主要目的地,
major street,主要街道,
access,通道,
2001 census data,2001年人口普查数据,
Sensitive infill,敏感填充,
facade pattern,立面模式,
height,高度,
scale,尺度,
orientation,朝向,
setback,退线,
proportion,比例,
facade articulation,立面处理,
color,色彩,
housing types,住房类型,
development priority,发展优先,
open spaces,开放空间,
public gathering,公共集会,
W.F. Alloway Building,W.F. Alloway Building,
Northern Electric Building,Northern Electric Building,
Historical Buildings Inventory,历史建筑名录,
90-92 Alexander Avenue,亚历山大大道90-92号,
Provincial designated historic buildings,省级指定历史建筑,
National designated historic buildings,国家级指定历史建筑,
177 Lombard Avenue,伦巴第大道177号,
Former Great-West Life Building,前大西方人寿大厦,
180 Market Avenue,市场大道180号,
"Dickinson, Robert E.","Dickinson, Robert E.",
The West European City: a Geographical Interpretation,西欧城市：地理学解读,
Routledge & Kegan Paul Limited,Routledge & Kegan Paul Limited,
(Jrban Design Studio 1984' 85:Fort Rouge,城市设计工作室1984-85：Fort Rouge,
Appendix E,附录E,
the author,作者,
"Marshall, Richard","Marshall, Richard",
Great West Saddlery Warehouse,Great West Saddlery Warehouse,
"May 14,1990",1990年5月14日,
Great West Saddlery Building,Great West Saddlery Building,
"Nov. 18, 1985",1985年11月18日,
Marshall-Wells Building,Marshall-Wells Building,
"May 11, 1987",1987年5月11日,
Galpern (Porter) Building,Galpern (Porter) Building,
Principle 2 (P2),原则 2 (P2),
Principle 3 (P3),原则 3 (P3),
Principle 4 (P4),原则 4 (P4),
W.J. Guest Fish Co. Ltd.,W.J. Guest Fish Co. Ltd.,
95 Alexander Avenue,95 Alexander Avenue,
T. Eaton Co. Warehouse,T. Eaton Co. Warehouse,
130 Galt Ave.,130 Galt Ave.,
146 Alexander Avenue,146 Alexander Avenue,
15 Amy Street,15 Amy Street,
Hydro Steam Plant,水电站蒸汽厂,
t923,t923,
179 Bannatyne Avenue,179 Bannatyne Avenue,
t902,t902,
Grange Building,格兰奇大厦,
"July 15, 1985",1985年7月15日,
Toronto Type Foundry Building,多伦多铸字大厦,
"Aug.29, 1988",1988年8月29日,
T.W. Taylor Building,T.W.泰勒大厦,
"Jan. 5, 1993",1993年1月5日,
167 Bannatyne Avenue,167 Bannatyne Avenue,
Ashdown's Warehouse,阿什当仓库,
"Sept. 16, 1985",1985年9月16日,
168 Bannatyne Avenue,168 Bannatyne Avenue,
Chatfield Distributors,查特菲尔德分销商,
Franklin Press Building,富兰克林出版社大楼,
"Nov. 14, 1983",1983年11月14日,
181 Bannatyne Avenue,181 Bannatyne Avenue,
Kilgour Block,基尔戈街区,
185 Bannatyne Avenue,185 Bannatyne Avenue,
McClary Building,McClary Building,
109 James Avenue,109 James Avenue,
James Avenue Pumping Station,James Avenue Pumping Station,
167 Lombard Avenue,167 Lombard Avenue,
On-street parking,路边停车,
public or commercial uses,公共或商业用途,
Parking on the side of building,建筑侧面停车,
landscape treatment,景观处理,
negative visual impact,负面视觉影响,
sidewalk,人行道,
Parking at the rear of building,建筑后方停车,
Parking within the block,街区内停车,
parking garden,停车花园,
temporary festivals,临时节日,
special events,特殊活动,
film production,电影制作,
warehouse uses,仓储用途,
infill development,填充开发,
grade level,年级水平,
micro-climate,小气候,
sunshine,日照,
sitting areas,休息区,
lunch time,午餐时间,
summer sunshine,夏季日照,
winter wind,冬季风,
occupied area,使用区域,
mid-morning,上午中段,
mid-afternoon,下午中段,
CulturaVrecreational use designated area,文化休闲使用指定区域,
Prcservcd historÍc buildings,保护历史建筑,
Prescrved buildings rvith sound structure,结构完好的保护建筑,
Priorify locations for public use at ground level,地面层公共使用优先位置,
Recommended corner locations for commercial use at ground level,推荐的地面层商业使用转角位置,
discovery,发现,
anticipation,预期,
Location,位置,
Key access point,关键入口点,
transit stop,公交站,
Public use area,公共使用区,
gatewaY space,门户空间,
activitY space,活动空间,
lunchtime,午餐时间,
191 Lombard Avenue,191 Lombard Avenue,
Union Tower Building,Union Tower Building,
"Sept. 12, 1983",1983年9月12日,
389 Main Street,389 Main Street,
Bank of Commerce,Bank of Commerce,
"Nov.7, 1979",1979年11月7日,
441 Main Street,441 Main Street,
Imperial Bank of Canada,Imperial Bank of Canada,
"OcL28,1997",1997年10月28日,
112-ll4Market Avenue,112-ll4Market Avenue,
surrounding buildings,周边建筑,
sidewalks,人行道,
Seating,座位,
sunny area,阳光充足区域,
Objectives,目标,
Section 6.4,第6.4节,
maximum dimension,最大尺寸,
facial expressions,面部表情,
events,事件,
surrounding spaces,周围空间,
Gatewav space,Gatewav 空间,
Kev activiW space,Kev activiW 空间,
Connection space,连接空间,
Visible,可见的,
athactive,athactive,
intimate,亲密的,
Pleasant,愉快的,
enjoyable,令人愉悦的,
safe,安全的,
accommodate climax,容纳高潮,
Compatible not conformable,兼容但不一致,
access convenience,出入便利,
93 Lombard Avenue,伦巴第大道93号,
Lombard Building,伦巴第大厦,
111 Lombard Avenue,伦巴第大道111号,
185 Lombard Avenue,伦巴第大道185号,
423 Main Street,主街423号,
Canadian Wheat Board,加拿大小麦局,
133 Market Avenue,市场大道133号,
139 Market Avenue,市场大道139号,
Steele Briggs Building,斯蒂尔·布里格斯大厦,
Ryan Brothers Building,瑞安兄弟大厦,
Victor Fox Foods,维克多·福克斯食品公司,
Building/side-walk edge patterns,建筑/人行道边缘模式,
Colonnade,柱廊,
Arcade,拱廊,
Space above Colonnade,柱廊上空空间,
Colonnade & Balcony,柱廊与阳台,
Visual feature,视觉特征,
Distinct visual element,独特视觉元素,
landmark,地标,
Visual complexity,视觉复杂性,
texture,纹理,
Buildings in the Buildings Conversation List,建筑对话列表中的建筑,
Buildings in the Historic Buildings Inventory,历史建筑名录中的建筑,
ACTION STRATEGIES,行动策略,
GOALS,目标,
architectural,建筑,
vibrancy,活力,
sustainabilify,可持续性,
aesthetics,美学,
theater-cultural precinct,剧院文化区,
Exchange,交易所,
civic campus,市民园区,
artists' quarter,艺术家区,
FtNAJ.ICl.qL,FtNAJ.ICl.qL,
DISTRICTT,DISTRICTT,
ffi,ffi,
Stanley Brock Building,斯坦利·布洛克大楼,
Customs Examining Warehouse,海关查验仓库,
Pantages Playhouse Theatre,潘塔吉斯剧院,
395 Main Street,主街395号,
455 Main Street,主街455号,
Confederation Building,联邦大楼,
"December 29, 2001",2001年12月29日,
2001,2001年,
Concept diagram,概念图,
