source,target,tgt_lng
lampposts,路灯柱,
street lights,路灯,
officers,官员,
employees,雇员,
utility companies,公用事业公司,
VIOLENT POLITICAL PARTIES,暴力政党,
Automatic Weapon (including semi-automatic),自动武器（包括半自动）,
Pipe Bombs,管道炸弹,
June 2017,2017年6月,
Explosive,爆炸物,
Affiliated Institution,附属机构,
Radio,广播,
Television,电视,
Telephone/Telegraph,电话/电报,
Internet Infrastructure,互联网基础设施,
Multiple Telecommunication Targets,多个电信目标,
Terrorist/Non-State Militia,恐怖分子/非国家民兵,
Terrorist Organization,恐怖组织,
Non-State Militia,非国家民兵,
Tourism Travel Agency,旅行社,
Tour Bus/Van/Vehicle,旅游巴士/面包车/车辆,
Tourist,游客,
Other Facility,其他设施,
Transportation,交通,
Bus (excluding tourist),公共汽车（不含旅游）,
Train/Train Tracks/ Trolley,火车/铁轨/有轨电车,
Bus Station/Stop,公交车站/站点,
Subway,地铁,
Bridge/Car Tunnel,桥梁/汽车隧道,
Highway/Road/Toll/Traffic Signal,高速公路/道路/收费站/交通信号,
Taxi/Rickshaw,出租车/人力车,
Terrorist/Non-state Militias,恐怖分子/非国家民兵,
Motive,动机,
Conflict Archive on the Internet for Northern Ireland,北爱尔兰冲突网络档案,
CBRN Global Chronology,CBRN全球年表,
"Mohtadi, Hamid and Antu Murshid","Mohtadi, Hamid and Antu Murshid",
National Center for Food Protection and Defense,国家食品保护与防御中心,
Disorders and Terrorism Chronology,骚乱与恐怖主义年表,
National Advisory Committee on Criminal Justice Standards and Goals,国家刑事司法标准与目标咨询委员会,
Task Force on Disorders and Terrorism,骚乱与恐怖主义特别工作组,
Report of the Task Force on Disorders and Terrorism,骚乱与恐怖主义特别工作组报告,
United States Department of Justice,美国司法部,
Eco Project 2010,Eco Project 2010,
the Study of Violent Groups (ISVG),暴力团体研究（ISVG）,
GTD Data Collection Phases,GTD数据收集阶段,
Collection Institution,收集机构,
Dates of GTD Attacks,GTD攻击日期,
START staff,START工作人员,
Melee,近战武器,
targeting people rather than property,针对人员而非财产,
user,使用者,
target,目标,
automobile,汽车,
car bomb,汽车炸弹,
truck bomb,卡车炸弹,
Sabotage Equipment,破坏设备,
demolition,拆除,
destruction of property,财产破坏,
removing bolts from a train tracks,从铁轨上移除螺栓,
weapon,武器,
categories,类别,
weapsubtype1,weapsubtype1,
weapsubtype1_txt,weapsubtype1_txt,
approxdate,approxdate,
hostage takers,劫持者,
kidnappers,绑架者,
facility attack,设施攻击,
target2,target2,
natlty2,natlty2,
natlty2_txt,natlty2_txt,
Nationality of Target,目标国籍,
targtype3,targtype3,
targtype3_txt,targtype3_txt,
targsubtype3,targsubtype3,
targsubtype3_txt,targsubtype3_txt,
corp3,corp3,
Name of Entity,实体名称,
target3,target3,
November 2011-present,2011年11月至今,
State Department,美国国务院,
1997,1997年,
Significant Incidents of Political Violence Against Americans,针对美国人的重大政治暴力事件,
"Washington, D.C.",华盛顿特区,
Bureau of Diplomatic Security,外交安全局,
UMD Algeria 2010-2012,UMD阿尔及利亚2010-2012,
Maghreb and Sahel Terrorism,马格里布和萨赫勒恐怖主义,
Yonah Alexander,Yonah Alexander,
UMD Assassinations Project,UMD暗杀项目,
UMD Black Widows 2011,UMD黑寡妇2011,
Black Widows,黑寡妇,
UMD Encyclopedia of World,UMD世界百科全书,
eco-terrorism,生态恐怖主义,
Hewitt Project,Hewitt Project,
Political Violence and Terrorism in Modern America: A Chronology,现代美国的政治暴力与恐怖主义：编年史,
Praeger Security International,Praeger Security International,
"Westport, CT",西港，康涅狄格州,
Hijacking DB,Hijacking DB,
Federal Aviation Administration,联邦航空管理局,
Office of Civil Aviation Security,民用航空安全办公室,
"Washington, DC",华盛顿特区,
HSI,HSI,
Homeland Security Institute,国土安全研究所,
Hyland,Hyland,
claim3,claim3,
claimmode3,claimmode3,
Arson/Fire,纵火/火灾,
Gasoline or Alcohol,汽油或酒精,
Blunt Object,钝器,
"Hands, Feet, Fists",手、脚、拳头,
Knife or Other Sharp Object,刀具或其他锐器,
Rope or Other Strangling Device,绳索或其他勒杀工具,
Suffocation,窒息,
Unknown Weapon Type,未知武器类型,
larger audience,更广泛的受众,
immediate victims,直接受害者,
pre- or post-attack statements,攻击前或攻击后声明,
past behavior,过往行为,
nature of the target/victim,目标/受害者性质,
Criterion 2,标准2,
Incident Summary,事件摘要,
"Hyland, Francis P.","Hyland, Francis P.",
"Armenian Terrorism: The Past, the Present, the Prospects","Armenian Terrorism: The Past, the Present, the Prospects",
Boulder-San Francisco-Oxford,Boulder-San Francisco-Oxford,
Westview Press,Westview Press,
Institute for the Study of Violent Groups,暴力组织研究学会,
Leuprecht Canadian Data,Leuprecht 加拿大数据,
Christian Leuprecht,Christian Leuprecht,
Royal Military College of Canada,加拿大皇家军事学院,
Pinkerton Global Intelligence Services,Pinkerton 全球情报服务,
Sageman,Sageman,
"Marc Sageman's Book, Understanding Terror Networks",Marc Sageman 的著作《理解恐怖网络》,
START Primary Collection,START 主要数据集,
First Source Citation (scite1),第一来源引用,
Second Source Citation (scite2),第二来源引用,
Third Source Citation (scite3),第三来源引用,
Extent of Property Damage,财产损失程度,
Catastrophic,灾难性,
Major,重大,
Minor,轻微,
Number of US Injured,美国受伤人数,
police force,警察部队,
police installations,警察设施,
police boxes,警察岗亭,
patrols headquarters,巡逻总部,
academies,警察学院,
checkpoints,检查站,
jails,监狱,
prison facilities,监狱设施,
prison staff,监狱工作人员,
guards,狱警,
military units,军事单位,
patrols,巡逻队,
barracks,兵营,
convoys,车队,
jeeps,吉普车,
recruiting sites,征兵点,
internal policing functions,内部治安职能,
anti-narcotics activities,禁毒活动,
peacekeeping units,维和部队,
military operations,军事行动,
AMISOM,非索特派团,
Second Weapon Type,第二武器类型,
Second Weapon Sub-Type,第二武器子类型,
Third Weapon Type,第三武器类型,
Brunei,文莱,
Bulgaria,保加利亚,
Burkina Faso,布基纳法索,
Burundi,布隆迪,
Cambodia,柬埔寨,
Cameroon,喀麦隆,
Canada,加拿大,
Central African Republic,中非共和国,
Chad,乍得,
Chile,智利,
China,中国,
Colombia,哥伦比亚,
Comoros,科摩罗,
Costa Rica,哥斯达黎加,
Cuba,古巴,
Cyprus,塞浦路斯,
Denmark,丹麦,
Djibouti,吉布提,
Dominica,多米尼克,
Dominican Republic,多米尼加共和国,
hierarchy,层级,
success,成功,
terrorist strike,恐怖袭击,
tangible effects,有形效果,
second attack type,第二攻击类型,
third attack type,第三攻击类型,
geospatial resolution,地理空间分辨率,
city,城市,
village,村庄,
town,城镇,
Coordinates,坐标,
Location Details,位置详情,
Geocoding Specificity,地理编码特异度,
targtype1,目标类型1,
targtype1_txt,目标类型1文本,
Agriculture,农业,
international,国际的,
domestic,国内的,
dimensions,维度,
Nationality of Target/Victim,目标/受害者国籍,
Nationality of Second Target/Victim,第二目标/受害者国籍,
Third Target/Victim Type,第三目标/受害者类型,
Third Target/Victim Subtype,第三目标/受害者子类型,
Name of Third Entity,第三实体名称,
Third Specific Target/Victim,第三特定目标/受害者,
Nationality of Third Target/Victim,第三目标/受害者国籍,
Appendix I: Data Collection Efforts for the Global Terrorism Database,附录I：全球恐怖主义数据库的数据收集工作,
Data Collection Effort,数据收集工作,
Originating Sources,来源,
Anti-Abortion Project 2010,反堕胎项目2010,
National Abortion Federation,全国堕胎联合会,
Armenian Website,亚美尼亚网站,
Australian Turkish Media Group,澳大利亚土耳其媒体集团,
CAIN,CAIN,
pathogenic microorganisms,病原微生物,
toxic substances of biological origins,生物源性有毒物质,
toxic chemicals,有毒化学品,
delivery system,投送系统,
liquid,液体,
vapor,蒸气,
aerosol,气溶胶,
Radiological,放射,
radioactive materials,放射性材料,
ionizing radiation,电离辐射,
Suicide Attack,自杀式袭击,
Yes,是,
No,否,
Second Group Claim of Responsibility,第二组责任声明,
Mode for Second Group Claim of Responsibility,第二组责任声明模式,
Weapon Types,武器类型,
weapon sub-types,武器子类型,
primary weapon type,主要武器类型,
Poisoning,投毒,
perpetrator attribution,肇事者归属,
Second Perpetrator Sub-Group Name,第二肇事者子组名称,
Third Perpetrator Sub-Group Name,第三肇事者子组名称,
non-state actor,非国家行为者,
Hostages or Kidnapping Victims,人质或绑架受害者,
Total Number of Hostages / Kidnapping Victims,人质/绑架受害者总数,
Inter/Intra-Group Conflict,群体间/群体内冲突,
State Actors (systematically coded post-2012),国家行为者（2012年后系统编码）,
Data Management System (DMS),数据管理系统 (DMS),
source article management,源文章管理,
evaluation,评估,
case identification,案例识别,
case coding,案例编码,
online platform,在线平台,
Guadeloupe,瓜德罗普,
Guatemala,危地马拉,
Guinea,几内亚,
Guinea-Bissau,几内亚比绍,
Haiti,海地,
Ecuador,厄瓜多尔,
Egypt,埃及,
El Salvador,萨尔瓦多,
Equatorial Guinea,赤道几内亚,
Ethiopia,埃塞俄比亚,
Falkland Islands,福克兰群岛,
Fiji,斐济,
Finland,芬兰,
Sri Lanka,斯里兰卡,
St. Kitts and Nevis,圣基茨和尼维斯,
St. Lucia,圣卢西亚,
St. Martin,圣马丁,
Sudan,苏丹,
Suriname,苏里南,
Swaziland,斯威士兰,
Sweden,瑞典,
Switzerland,瑞士,
Syria,叙利亚,
Taiwan,台湾,
Tanzania,坦桑尼亚,
Gas,燃气,
Electricity,电力,
Oil,石油,
Party Official/Candidate/Other Personnel,政党官员/候选人/其他人员,
Party Office/Facility,政党办公室/设施,
Rally,集会,
Name of Entity (corp1) Text Variable,实体名称（corp1）文本变量,
Extended Incident,扩展事件,
Date of Extended Incident Resolution,扩展事件解决日期,
Russia,俄罗斯,
Rwanda,卢旺达,
Sierra Leone,塞拉利昂,
Singapore,新加坡,
French Guiana,法属圭亚那,
French Polynesia,法属波利尼西亚,
Gabon,加蓬,
Gambia,冈比亚,
Ghana,加纳,
Greece,希腊,
Greenland*,格陵兰*,
Grenada,格林纳达,
Netherlands,荷兰,
New Caledonia,新喀里多尼亚,
New Zealand,新西兰,
Nicaragua,尼加拉瓜,
Niger,尼日尔,
Nigeria,尼日利亚,
North Korea,朝鲜,
Norway,挪威,
Oman,阿曼,
Pakistan,巴基斯坦,
West Bank and Gaza Strip,约旦河西岸和加沙地带,
Panama,巴拿马,
Saudi Arabia,沙特阿拉伯,
Seychelles,塞舌尔,
Slovak Republic,斯洛伐克共和国,
Solomon Islands,所罗门群岛,
Somalia,索马里,
South Korea,韩国,
Spain,西班牙,
Malta,马耳他,
"Man, Isle of",马恩岛,
Marshall Islands,马绍尔群岛,
Martinique,马提尼克,
Mauritania,毛里塔尼亚,
Mauritius,毛里求斯,
Mexico,墨西哥,
Mongolia,蒙古,
Morocco,摩洛哥,
Mozambique,莫桑比克,
Myanmar,缅甸,
Namibia,纳米比亚,
Teacher/Professor/Instructor,教师/教授/讲师,
School/University/Educational Building,学校/大学/教育建筑,
Other Personnel,其他人员,
Food and Water Supply,食品和水供应,
Food Supply,食品供应,
Water Supply,供水,
Newspaper Journalist/Staff/Facility,报社记者/工作人员/设施,
Papua New Guinea,巴布亚新几内亚,
Paraguay,巴拉圭,
Peru,秘鲁,
Philippines,菲律宾,
Poland,波兰,
Portugal,葡萄牙,
Qatar,卡塔尔,
Romania,罗马尼亚,
Saba,萨巴,
Netherlands Antilles,荷属安的列斯,
Country-level statistics,国家级统计,
Number of Incidents,事件数量,
Percent,百分比,
Number Killed,死亡人数,
Number Injured,受伤人数,
Guyana,圭亚那,
Honduras,洪都拉斯,
Hong Kong,香港,
Hungary,匈牙利,
Iceland,冰岛,
India,印度,
Indonesia,印度尼西亚,
Iran,伊朗,
Iraq,伊拉克,
Ireland,爱尔兰,
US,美国,
Lesotho,莱索托,
Liberia,利比里亚,
Libya,利比亚,
Liechtenstein*,列支敦士登*,
Luxembourg,卢森堡,
Macau,澳门,
Madagascar,马达加斯加,
Malawi,马拉维,
Malaysia,马来西亚,
Maldives,马尔代夫,
Mali,马里,
Myanmar (Burma),缅甸,
Number of Perpetrators Captured,被捕犯罪人数,
Claim of Responsibility?,责任声明？,
Italy,意大利,
Ivory Coast,科特迪瓦,
Jamaica,牙买加,
Japan,日本,
Jordan,约旦,
Kenya,肯尼亚,
Kuwait,科威特,
Laos,老挝,
Lebanon,黎巴嫩,
Second Target/Victim Type,第二目标/受害者类型,
Second Target/Victim Subtype,第二目标/受害者子类型,
Name of Second Entity,第二实体名称,
Second Specific Target/Victim,第二特定目标/受害者,
Thailand,泰国,
Togo,多哥,
Trinidad and Tobago,特立尼达和多巴哥,
2011,2011,
Multi-source comparison,多源比较,
events,事件,
1970,1970,
2008,2008,
Perpetrator Sub-Group Name,施暴者子组名,
Hours of Kidnapping / Hostage Incident,绑架/劫持事件时长,
Country That Kidnappers/Hijackers Diverted To,绑架者/劫机者转移到的国家,
Tonga,汤加,
Tunisia,突尼斯,
Country of Kidnapping/Hijacking Resolution,国家/绑架/劫持决议,
Ransom Demanded,索要赎金,
Province,省,
Administrative Region,行政区,
State,州,
June 2015,2015年6月,
Religious Figure,宗教人物,
Place of Worship,礼拜场所,
